item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q110993726,Ben Smith,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,male,Q110993726-64909748-0EB9-44C3-9A4E-FC7FB67E7419
Q110993794,Christopher Famous,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q110993794-41D8521E-F0AE-4AA4-B33C-A02B5B8300B5
Q1281098,Craig Cannonier,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,male,Q1281098-B160988E-0CC2-4CBB-ABB3-35C266B70C7C
Q107980114,David Burch,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q107980114-8A7AF893-9A11-4311-8472-885CB2626245
Q109517094,Dennis Lister,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q109517094-455AF435-AB6A-44CA-898A-76C0591E69DC
Q5262984,Derrick Burgess,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q5262984-6A7273D3-8CE3-42D1-8B62-108E2C0C3FA4
Q42665891,Diallo Vincent Rabain,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q42665891-3B650B09-3412-456B-9082-3ECDF0D0BC2D
Q33120852,E. David Burt,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q33120852-64A81B4A-5EBA-4DCE-909E-AC6173AB528D
Q110993718,Grant Gibbons,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,male,Q110993718-3F4F9070-76BC-4F5F-814B-78278D1A7DB7
Q107980343,Jamahl Simmons,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q107980343-41A44F1C-A0A4-4473-BC29-5252D4087777
Q56486487,Jeanne Atherden,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,female,Q56486487-7CF51BC9-F7E4-4F5B-9900-9D024DC0BA66
Q110993743,Jeff Baron,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,male,Q110993743-5A1DEEF0-BDE0-4C82-90A5-43E0E9A81E51
Q6409462,Kim Swan,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q6409462-1426E9E2-1DAD-4650-8098-ED6D8F5A8EA7
Q94952755,Kim Wilson,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,female,Q94952755-8DA965FD-B9CA-4E44-93E1-9DFFB9539772
Q107980091,Lawrence Scott,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,male,Q107980091-7AD979A7-0DDA-483F-8F9D-2164A9E6FE11
Q110993772,Leah Scott,Q7092478,One Bermuda Alliance,,,2017-07-18,2020-09-30,female,Q110993772-2C9173F7-B51E-4653-AC6F-17F5BE0DF998
Q110993774,Lovitta Foggo,Q1565799,Progressive Labour Party,,,2017-07-18,2020-09-30,female,Q110993774-1842F2F3-3436-4203-9BD6-3935E46E9E2A
