@@,name,position
+++,Wayne L. Furbert,Minister for the Cabinet Office
+++,Walter Roban,Deputy Premier and Minister of Home Affairs
+++,Tinee Furbert,Minister of Social Development and Seniors
+++,Renee Ming,Minister of National Security
+++,Lawrence Scott,Minister of Transport
+++,Kim Wilson,Minister of Health
+++,Kathy Lightbourne-Simmons,Minister of Legal Affairs
+++,Kathy Lightbourne-Simmons,Attorney General
+++,Jason Hayward,Minister of Labour
+++,Ernest Peets,"Minister of Youth, Culture and Sports"
+++,E. David Burt,Premier of Bermuda
+++,Diallo Rabain,Minister of Education
+++,David Burch,Minister of Public Works
+++,Curtis L. Dickinson,Minister of Finance
