item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Ben Smith,Q7092478,OBA,,Southampton West Central,,,male
,Christopher Famous,Q1565799,PLP,,Devonshire East,,,male
Q1281098,Craig Cannonier,Q7092478,OBA,,Devonshire South Central,,,male
,David Burch,Q1565799,PLP,,Warwick North Central,,,male
Q33120852,David Burt,Q1565799,PLP,,Pembroke West Central,,,male
,Dennis Lister,Q1565799,PLP,,Sandys North Central,,,male
,Dennis Lister III,Q1565799,PLP,,Warwick West,,,male
,Derrick Burgess,Q1565799,PLP,,Hamilton East,,,male
Q42665891,Diallo Rabain,Q1565799,PLP,,Devonshire North Central,,,male
,Grant Gibbons,Q7092478,OBA,,Paget East,,,male
,Jamahl Simmons,Q1565799,PLP,,Sandys South,,,male
,Jeanne Atherden,Q7092478,OBA,,Pembroke West,,,female
,Jeff Baron,Q7092478,OBA,,Warwick North East,,,male
Q6409462,Kim Swan,Q1565799,PLP,,St. George's West,,,male
,Kim Wilson,Q1565799,PLP,,Sandys South Central,,,female
,Lawrence Scott,Q1565799,PLP,,Warwick South East,,,male
,Leah Scott,Q7092478,OBA,,Southampton East Central,,,female
,Lovitta Foggo,Q1565799,PLP,,St. David's,,,female
Q17626860,Michael Dunkley,Q7092478,OBA,,Smiths North,,,male
,Michael Scott,Q1565799,PLP,,Sandys North,,,male
,Michael Weeks,Q1565799,PLP,,Pembroke East Central,,,male
,N. Cole Simons,Q7092478,OBA,,Smiths South,,,male
,Neville Tyrrell,Q1565799,PLP,,Warwick South Central,,,male
,Patricia Gordon Pamplin,Q7092478,OBA,,Paget West,,,female
,Renee Ming,Q1565799,PLP,,St. George's North,,,female
,Rolfe Commissiong,Q1565799,PLP,,Pembroke South East,,,male
,Scott Simmons,Q1565799,PLP,,Southampton West,,,male
,Susan Jackson,Q7092478,OBA,,Pembroke South West,,,female
,Sylvan Richards Jr.,Q7092478,OBA,,Hamilton South,,,male
,Tinee Furbert,Q1565799,PLP,,St. George's South,,,female
Q16732783,Trevor Moniz,Q7092478,OBA,,Smiths West,,,male
,Walter Roban,Q1565799,PLP,,Pembroke East,,,male
,Walton Brown,Q1565799,PLP,,Pembroke Central,,,male
Q56522655,Wayne Caines,Q1565799,PLP,,Devonshire North West,,,male
,Wayne Furbert,Q1565799,PLP,,Hamilton West,,,male
,Zane DeSilva,Q1565799,PLP,,Southampton East,,,male
