item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q1281098,Craig Cannonier,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q1281098-BC63AF0F-80A6-495E-8F65-4DC898B4765C
Q109517094,Dennis Lister,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q109517094-4D5E6165-F28F-487E-BC32-DF2D17D74154
Q5262984,Derrick Burgess,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q5262984-29673EBE-B4F7-4D7B-A1D7-2800AA9CB3F8
Q42665891,Diallo Vincent Rabain,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q42665891-99C00009-059E-4848-ABF6-460E832D1EEF
Q33120852,E. David Burt,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q33120852-6F572014-8841-41A9-9BC0-742C15CAEE79
Q110994033,E. T. Bob Richards,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110994033-207BBED5-FA79-4627-84E8-FC5AA65EB33E
Q110994034,Glen Smith,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110994034-4A2A7C8B-0124-4E13-AE31-96CBAB53138A
Q110994042,Glenn Blakeney,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q110994042-757289AA-12F1-475C-AEF9-5A5758167567
Q110993718,Grant Gibbons,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110993718-28AD6262-D8F8-4816-BB52-AC1CC5451B36
Q107980343,Jamahl Simmons,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q107980343-8FB61D5D-8DD1-4EE4-B685-814F4A082CCF
Q56486487,Jeanne Atherden,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,female,Q56486487-FC4CD1DE-C31B-4A0D-B243-74572D0D2AD2
Q110994035,Jeff Sousa,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110994035-DBE69785-D498-4276-A35F-FCBCB7C2870C
Q110994036,Kenneth Bascome,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110994036-3B3BAD66-4DBF-4C0D-BFBA-84D18FEAF65B
Q94952755,Kim Wilson,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,female,Q94952755-E4A92555-4E95-427D-937B-40A12FF38444
Q107980091,Lawrence Scott,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q107980091-A44B2B81-C271-41FD-AFA5-32FE334E1619
Q110993772,Leah Scott,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,female,Q110993772-58C7E208-9F98-43DC-8C8D-136B1C5AAA31
Q110993774,Lovitta Foggo,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,female,Q110993774-2FB16618-DF18-4C41-8811-F85A18674CCE
Q23772603,Marc Bean,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q23772603-E54D2493-9805-4F2C-B5EB-6F20EFD7F460
Q110994037,Mark Pettingill,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110994037-9294AC41-6A2B-493E-9959-014523AD4D40
Q17626860,Michael Dunkley,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q17626860-F25FEBF4-4C05-4FF8-A46D-7343D2B2E45A
Q110993778,Michael Scott,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q110993778-9EE76A0E-D595-444C-936E-8C1F835166CD
Q110993896,Michael Weeks,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q110993896-8B6F2E31-2C8B-42F2-AAB0-F5DF2E1F18DE
Q110993785,N. Cole Simons,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,male,Q110993785-AB75DA31-62BE-45F4-A7DE-332C29716752
Q110994039,Nandi Outerbridge,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,female,Q110994039-B6EB4928-3D73-4855-9C4E-AFB02CD5BD8A
Q110993797,Neville Tyrrell,Q1565799,Progressive Labour Party,,,2012-12-17,2017-07-17,male,Q110993797-A65D0488-6CEF-4BF3-8561-2C7D0983CDE8
Q110993786,Patricia Gordon Pamplin,Q7092478,One Bermuda Alliance,,,2012-12-17,2017-07-17,female,Q110993786-E22044CE-B57A-452C-95F6-BC2953280D14
