item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
Q1281098,Craig Cannonier,Q7092478,OBA,,Devonshire South Central,,,male
Q33120852,David Burt,Q1565799,PLP,,Pembroke West Central,,,male
,Dennis Lister,Q1565799,PLP,,Sandys North Central,,,male
,Derrick Burgess,Q1565799,PLP,,Hamilton East,,,male
Q42665891,Diallo Rabain,Q1565799,PLP,,Devonshire North Central,,,male
,E. T. Bob Richards,Q7092478,OBA,,Devonshire East,,,male
,Glen Smith,Q7092478,OBA,,Devonshire North West,,,male
,Glenn Blakeney,Q1565799,PLP,,Devonshire North Central,,,male
,Grant Gibbons,Q7092478,OBA,,Paget East,,,male
,Jamahl Simmons,Q1565799,PLP,,Sandys South,,,male
,Jeanne Atherden,Q7092478,OBA,,Pembroke West,,,female
,Jeff Sousa,Q7092478,OBA,,Warwick West,,,male
,Kenneth Bascome,Q7092478,OBA,,St. George's North,,,male
,Kim Wilson,Q1565799,PLP,,Sandys South Central,,,female
,Lawrence Scott,Q1565799,PLP,,Warwick South East,,,male
,Leah Scott,Q7092478,OBA,,Southampton East Central,,,female
,Lovitta Foggo,Q1565799,PLP,,St. David's,,,female
Q23772603,Marc Bean,Q1565799,PLP,,Warwick South Central,,2016-11-04,male
,Mark Pettingill,Q7092478,OBA,,Warwick North East,,,male
Q17626860,Michael Dunkley,Q7092478,OBA,,Smiths North,,,male
,Michael Scott,Q1565799,PLP,,Sandys North,,,male
,Michael Weeks,Q1565799,PLP,,Pembroke East Central,,,male
,N. Cole Simons,Q7092478,OBA,,Smiths South,,,male
,Nandi Outerbridge,Q7092478,OBA,,St. George's West,,,female
,Neville Tyrrell,Q1565799,PLP,,Warwick South Central,,,male
,Patricia Gordon Pamplin,Q7092478,OBA,,Paget West,,,female
Q2616239,Randolph Horton,Q327591,Independent,,Southampton West,,,male
,Rolfe Commissiong,Q1565799,PLP,,Pembroke South East,,,male
,Shawn Crockwell,Q327591,Independent,,Southampton West Central,,,male
,Susan Jackson,Q7092478,OBA,,Pembroke South West,,,female
,Suzann Roberts-Holshouser,Q7092478,OBA,,St. George's South,,,female
,Sylvan Richards Jr.,Q7092478,OBA,,Hamilton South,,,male
Q16732783,Trevor Moniz,Q7092478,OBA,,Smiths West,,,male
,Walter Roban,Q1565799,PLP,,Pembroke East,,,male
,Walton Brown,Q1565799,PLP,,Pembroke Central,,,male
,Wayne Furbert,Q1565799,PLP,,Hamilton West,,,male
,Wayne Scott,Q7092478,OBA,,Warwick North Central,,,male
,Zane DeSilva,Q1565799,PLP,,Southampton East,,,male
